May 2025 Settlement Values,
INDEX,SETTLEMENT VALUE
VIX Options (VRO),19.12
Cboe Bitcoin U.S. ETF Index AM,2451.84
Russell 2000 CLOSE,2113.2542
Cboe Mini Bitcoin U.S. ETF Index AM,245.18
MSCI ACWI Net Total Return USD Index,480.46
MSCI USA Index,273.35
MSCI World Index,123.01
S&P 500 Equal Weight Index AM Open,723.33
S&P 100 (OEX),2893.14
S&P 500 Scored & Screened Index,511.63
S&P 500 (SET),5938.28
S&P 500 PM-Settled,5958.38
MSCI EAFE (MXS),2549.92
MSCI Emerging Markets (EFS),1172.38
Materials Select Sector Index (SISB),924.46
Communication Services Select Sector Index (SISC),531.81
Energy Select Sector Index (SISE),896.73
Industrials Select Sector Index (SISIN),1448.13
Financial Select Sector Index (SISM),635.69
Consumer Staples Select Sector Index (SISR),827.43
Real Estate Select Sector Index (SISRE),206.08
Technology Select Sector Index (SIST),2364.89
Utilities Select Sector Index (SISUT),830.34
Dow Jones (DJS),424.03
Health Care Select Sector Index (SISV),1343.19
Consumer Discretionary Select Sector Index (SISY),2200.43
Russell 1000 Index (RIR),3250.88
Russell 1000 Growth (RLR),4037.52
Russell 1000 Value (RVS),1863.17
Mini-SPX (XSP),595.84
Russell 2000 (RLS),2096.02
April 2025 Settlement Values,
INDEX,SETTLEMENT VALUE
Cboe Mini Bitcoin U.S. ETF Index AM,200.52
Russell 2000 CLOSE,1880.623
Cboe Bitcoin U.S. ETF Index AM,2005.21
MSCI ACWI Net Total Return USD Index,431.69
MSCI USA Index,241.51
MSCI World Index,110.39
S&P 100 (OEX),2544.12
S&P 500 Scored & Screened Index,460.22
S&P 500 (SET),5300.28
S&P 500 PM-Settled,5282.7
MSCI EAFE (MXS),2390.9
MSCI Emerging Markets (EFS),1067.07
Materials Select Sector Index (SISB),858.4
Communication Services Select Sector Index (SISC),471.5
Energy Select Sector Index (SISE),858.76
Industrials Select Sector Index (SISIN),1264.05
Financial Select Sector Index (SISM),575.24
Consumer Staples Select Sector Index (SISR),827.76
Real Estate Select Sector Index (SISRE),198.54
Technology Select Sector Index (SIST),1943.59
Utilities Select Sector Index (SISUT),788.12
Dow Jones (DJS),391.81
Health Care Select Sector Index (SISV),1368.64
Consumer Discretionary Select Sector Index (SISY),1874.56
Russell 1000 Index (RIR),2895.02
Russell 1000 Growth (RLR),3466.74
Russell 1000 Value (RVS),1729.27
Mini-SPX (XSP),528.27
Russell 2000 (RLS),1862.13
VIX Options (VRO),31.91
March 2025 Settlement Values,
INDEX,SETTLEMENT VALUE
